09version,avg,max, min
1.0,24238644,49381945,4477096
2.0,28256395,40251878,15794627
3.0,43910435,50792203,40715123
4.0,43797820,47985213,41225485
4.0,45258985,54129616,40157177
5.0,43378688,50551952,40364773
