10version,avg,max, min
1.0,59953880,116803362,1208728
2.0,53581205,104534150,10368183
3.0,120937442,134378658,112418635
4.0,119659783,125440327,112746591
4.0,118005315,131879098,111952124
5.0,115939814,129142550,111647028
