04version,avg,max, min
1.0,30885757,55608919,1344015
2.0,27186930,55697089,3075700
3.0,5866288,8891213,4599788
4.0,5105204,7239301,4370266
4.0,5298825,8462024,4371664
5.0,4749967,5755333,4338076
