07version,avg,max, min
1.0,445805790,830156789,30611450
2.0,422398560,781559048,80689894
3.0,903913318,993784688,861455409
4.0,884314396,922963345,857666882
4.0,862681247,888988825,845434057
5.0,859125489,876122948,840247866
