03version,avg,max, min
1.0,28406985,68975363,869574
2.0,41599681,68736043,10478746
3.0,68659217,79154143,61949256
4.0,62864343,71144167,58824106
4.0,61132434,69440940,58087487
5.0,58804792,60262356,57282290
