02version,avg,max, min
1.0,4998146201,8816049062,343892475
2.0,4611414323,8878816109,199965758
3.0,228485694,256092037,215036829
4.0,229710227,275746101,218243618
4.0,227066571,269491602,216115866
5.0,223415496,230784805,215825697
