08version,avg,max, min
1.0,6573647,14201495,657313
2.0,7331185,10714334,663843
3.0,2667447,3922883,2059175
4.0,2523259,3979330,1998528
4.0,2373416,3983528,2016723
5.0,2389016,3636445,2018122
