06version,avg,max, min
1.0,280911056,494562127,14733318
2.0,227377528,447021031,50060250
3.0,445375668,488309028,425026487
4.0,449003212,462835718,440515083
4.0,449568305,464765203,434115966
5.0,435309317,448734988,423477206
